Country Name,Country Code,Series Name,Series Code,1996 [YR1996],1998 [YR1998],2000 [YR2000],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Sierra Leone,SLE,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,-1.2382042,-1.1025619,-1.0881172,-1.4871972,-1.1649922,-1.0284067,-0.960196699999999,-0.8718921,-0.857013799999999,-0.8640352,-0.8375956,-0.8366323,-0.783612,-0.741593,-0.8619589,-0.894407899999999,-0.789320799999999,-0.8024905,-0.7575713,-0.736684799999999,-0.781942199999999,-0.6747383,-0.759120999999999,-0.7806301,-0.8268953,-0.8385756
South Africa,ZAF,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,0.8660995,0.7117398,0.4726792,0.2011764,0.1374478,0.2207295,0.3388716,0.4594323,0.3081368,0.1596049,0.1056357,0.093303,0.1087565,-0.0291711999999999,-0.0335595,-0.0143828,0.0114254,0.0306383,-0.0798663999999999,-0.0473417999999999,0.0349803,0.0256677,0.0645613,-0.1634734,-0.2095917,-0.191792799999999
South Africa,ZAF,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,-0.0116072,-0.0081801,-0.0123717,0.0731619999999999,0.0936661999999999,0.1326388,0.1783305,0.3066237,0.1587318,0.0771777999999999,0.0334806,0.065012,0.0107579,0.0103319,0.0246889,0.0704603,0.0440534,0.0701133,0.0143383,-0.0683312,-0.0749162,-0.0613794,0.1210745,0.0341024,0.039525,0.017703
"Somalia, Fed. Rep.",SOM,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-1.61624259999999,-1.6183029,-1.6143592,-1.39394359999999,-1.6112183,-1.64426269999999,-1.657789,-1.6536954,-1.6552547,-1.6858822,-1.5862218,-1.684578,-1.6615444,-1.649052,-1.64551309999999,-1.73994569999999,-1.7297878,-1.7350014,-1.721871,-1.80642059999999,-1.6343465,-1.5494727,-1.6031075,-1.59878449999999,-1.61685259999999,-1.7861136
"Somalia, Fed. Rep.",SOM,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,-2.3086666,-2.315045,-2.32001009999999,-2.50632509999999,-2.5080384,-2.4854228,-2.34532669999999,-2.4900112,-2.48707189999999,-2.4669174,-2.37706949999999,-2.3849652,-2.380498,-2.35479259999999,-2.3576872,-2.2284291,-2.1954112,-2.2378636,-2.3167845,-2.3047801,-2.27689089999999,-2.18341659999999,-2.16817529999999,-2.2051746,-2.1303739,-2.2054496
Sudan,SDN,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-1.3165375,-1.31780339999999,-1.1657662,-1.1833566,-1.3168528,-1.30601939999999,-1.41500919999999,-1.2022545,-1.31310249999999,-1.4268295,-1.42912899999999,-1.4777406,-1.46601389999999,-1.57216549999999,-1.5693861,-1.5461064,-1.4808042,-1.4810828,-1.480461,-1.5184609,-1.47108899999999,-1.3828975,-1.292527,-1.4462818,-1.4513517,-1.557432
Sudan,SDN,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,-1.6598369,-1.6620042,-1.62159869999999,-1.30204949999999,-1.56837459999999,-1.5359713,-1.6379732,-1.3730517,-1.4038579,-1.4263343,-1.3933906,-1.383167,-1.4311591,-1.42399229999999,-1.4727537,-1.4368402,-1.4901668,-1.4810009,-1.3822481,-1.3679719,-1.4223111,-1.344873,-1.3405003,-1.4230148,-1.65553779999999,-1.7733122
Tanzania,TZA,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-0.5613152,-0.7219685,-0.725669599999999,-0.757763699999999,-0.7197376,-0.604957499999999,-0.669065599999999,-0.2154179,-0.3125541,-0.347588299999999,-0.3744225,-0.493373299999999,-0.5267179,-0.6184419,-0.6530961,-0.6311616,-0.5825641,-0.4354617,-0.3504596,-0.3396123,-0.2829332,-0.2540505,-0.351543,-0.3590925,-0.346236,-0.2941052
Tanzania,TZA,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,-0.2035512,-0.2057186,-0.384225,-0.4575934,-0.4440572,-0.507009199999999,-0.3577649,-0.420657,-0.370776,-0.3937892,-0.364254099999999,-0.382002299999999,-0.382105,-0.435475899999999,-0.493487099999999,-0.464479,-0.4023419,-0.438044699999999,-0.486800199999999,-0.5520727,-0.5728339,-0.565190299999999,-0.5650588,-0.5495819,-0.4944742,-0.5194228
South Sudan,SSD,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,..,..,..,..,..,..,..,..,..,..,..,-0.214174099999999,-1.2275676,-1.34178249999999,-1.4236144,-1.71827969999999,-1.77074769999999,-1.7919554,-1.7562035,-1.8304337,-1.8861426,-1.80683669999999,-1.82343179999999,-1.861122,-1.87741769999999,-2.0647211
South Sudan,SSD,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,..,..,..,..,..,..,..,..,..,..,..,..,-1.3454875,-1.1549676,-1.3517382,-1.6791346,-1.6930815,-1.7566012,-1.7533888,-1.8708086,-1.87228589999999,-1.90756779999999,-1.97781689999999,-1.9298809,-2.00017059999999,-1.9725304
Togo,TGO,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-0.7269447,-0.805423,-0.7671465,-0.901118099999999,-0.9025728,-0.9227871,-0.9351421,-1.0720376,-1.0360718,-1.0401869,-1.0333147,-0.786170199999999,-0.8497363,-0.818918399999999,-0.8443157,-0.791632799999999,-0.6308001,-0.6534352,-0.7306167,-0.7549576,-0.7066703,-0.644805899999999,-0.6519768,-0.630985799999999,-0.5879504,-0.6633762
Togo,TGO,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,-0.8890874,-0.8444754,-0.8349112,-1.0546299,-1.19112249999999,-1.0433959,-1.15802199999999,-0.98252,-0.992190399999999,-0.862322599999999,-0.8832441,-0.838355,-0.7898362,-0.9141876,-0.9870469,-0.9065907,-0.8151079,-0.799414499999999,-0.8070668,-0.694814199999999,-0.7029591,-0.6160719,-0.6328001,-0.675356699999999,-0.6302782,-0.632861
Tunisia,TUN,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-0.3666101,-0.367876,-0.3715771,-0.0488823,-0.2307968,-0.1547903,-0.2831211,-0.0584308999999999,-0.114220499999999,-0.298259899999999,-0.2882811,-0.1941292,0.0507,0.0016466,-0.0117731,0.012509,-0.0143711,-0.0577612999999999,-0.0490023999999999,0.00133739999999999,-0.0286669999999999,-0.019263,-0.1415165,-0.1992466,-0.192361099999999,-0.220154599999999
Tunisia,TUN,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,-0.253765099999999,-0.2559324,-0.257357799999999,-0.248541799999999,-0.3720485,-0.160185,-0.2641906,-0.124350499999999,-0.1480114,-0.108620899999999,-0.1372617,-0.217492599999999,-0.4029909,-0.175204,-0.2216627,-0.152277399999999,-0.1094928,-0.1019524,-0.0902866,-0.0574128,-0.0268576999999999,-0.0116452999999999,-0.0151282999999999,-0.236793299999999,-0.3148235,-0.3644942
Uganda,UGA,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-0.6802866,-1.09717399999999,-1.1308156,-1.1472765,-1.0880722,-0.832184399999999,-0.8971513,-0.643684199999999,-0.7161406,-0.707299999999999,-0.7593312,-0.7605074,-0.7939237,-0.8567334,-0.9342784,-0.988474499999999,-1.0129557,-0.9946961,-1.0168329,-1.0296281,-1.1024791,-0.936142199999999,-0.9322359,-0.9890036,-0.996690299999999,-1.11616729999999
Uganda,UGA,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,-0.3990359,-0.574301,-0.7520219,-0.754917899999999,-0.707623799999999,-0.7109534,-0.5342542,-0.266143199999999,-0.305873399999999,-0.2591785,-0.332457399999999,-0.349823699999999,-0.4625994,-0.4996961,-0.5574549,-0.5832969,-0.610189,-0.6395096,-0.6572323,-0.693584099999999,-0.728266,-0.690221499999999,-0.7277087,-0.729024799999999,-0.752792999999999,-0.738524299999999
Zimbabwe,ZWE,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-0.396613999999999,-0.680634299999999,-1.27712429999999,-1.36732069999999,-1.41782839999999,-1.40678899999999,-1.498948,-1.3723553,-1.402998,-1.5353415,-1.5461452,-1.4687145,-1.4551794,-1.3288997,-1.3977252,-1.4973623,-1.3029239,-1.3004061,-1.2922875,-1.3111277,-1.28338019999999,-1.1729479,-1.1867823,-1.1984753,-1.1914608,-1.2516542
Zimbabwe,ZWE,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,-0.6513025,-0.9281334,-1.55969499999999,-1.88033189999999,-1.8192363,-1.74025909999999,-1.87114729999999,-1.8936098,-1.8830102,-1.89282179999999,-1.8548257,-1.7974643,-1.78434949999999,-1.64500499999999,-1.6961368,-1.6496871,-1.40778009999999,-1.4315883,-1.380811,-1.2942012,-1.28158559999999,-1.24233859999999,-1.263628,-1.3005258,-1.2681513,-1.2109412
Zambia,ZMB,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-0.825604599999999,-0.8234682,-0.9273562,-0.8018168,-0.809389799999999,-0.6055574,-0.603934499999999,-0.392071,-0.3472209,-0.345906899999999,-0.3090289,-0.369043,-0.273636999999999,-0.269322599999999,-0.305174,-0.390403499999999,-0.395175899999999,-0.423830999999999,-0.464061199999999,-0.6165275,-0.6455711,-0.6050749,-0.6928953,-0.4180775,-0.39812,-0.4568294
Zambia,ZMB,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,-0.4599043,-0.4620717,-0.416429,-0.3450802,-0.410630799999999,-0.4700626,-0.3854022,-0.459117799999999,-0.4112994,-0.33141,-0.3426566,-0.379340499999999,-0.323967599999999,-0.4889225,-0.4100551,-0.4213975,-0.3560318,-0.4033579,-0.4504641,-0.4817744,-0.591155099999999,-0.6567755,-0.6026535,-0.6313823,-0.6089819,-0.5611771
Namibia,NAM,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,0.9179483,0.5596911,0.55599,0.1007833,0.0648883,-0.0108496,-0.0218681999999999,0.3198085,0.2818941,0.5812992,0.4769442,0.3382449,0.3080152,0.4912085,0.4707981,0.4361437,0.4537303,0.4077914,0.3675534,0.4425861,0.4318792,0.3917523,0.3260821,0.3167748,0.1649292,0.1265202
Namibia,NAM,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,0.4917662,0.3597755,0.4451609,0.3587995,0.3291829,0.0183018,0.0620159,0.2704801,0.2781029,0.3694739,0.3701518,0.2970201,0.1702201,0.2567192,0.2527678,0.2053057,0.2731422,0.3115188,0.2204754,0.183239,0.1859134,0.2186834,0.2859049,0.3187607,0.3088084,0.3278567
Madagascar,MDG,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,0.0520045,-0.0685591,-0.0745829,-0.0393789,0.0792649,-0.3107225,-0.3115825,-0.1926405,-0.1559895,-0.1853766,-0.211703299999999,-0.3902245,-0.4045495,-0.612370899999999,-0.7119532,-0.783836699999999,-0.784991,-0.794875999999999,-0.922522,-0.9185574,-0.925669499999999,-0.8463989,-0.9473613,-0.9659728,-0.9853603,-1.00991649999999
Madagascar,MDG,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,-0.3072618,-0.370386699999999,-0.287284,-0.3299612,-0.5065395,-0.3418461,-0.2887078,-0.3078826,-0.3068549,-0.3523698,-0.7108084,-0.8509099,-0.8607739,-0.8274005,-1.0194324,-0.914848,-0.7873387,-0.7441264,-0.7899503,-0.7923835,-0.8395324,-0.858634599999999,-0.893154,-0.9669241,-0.955411599999999,-0.8827065
Central African Republic,CAF,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-1.23436559999999,-1.23714109999999,-1.2601757,-0.975180199999999,-1.1427486,-1.31345469999999,-1.2806541,-1.1206776,-1.0493179,-1.1470045,-1.0963308,-0.979839599999999,-0.980304699999999,-0.9511,-1.1350883,-1.25103109999999,-1.3662253,-1.30818529999999,-1.18078179999999,-1.22089,-1.20142479999999,-1.25240479999999,-1.316273,-1.3173981,-1.3816342,-1.30997079999999
Central African Republic,CAF,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,-1.21678889999999,-1.2241608,-1.2263368,-0.917907199999999,-1.46757349999999,-1.3221006,-1.4008998,-1.4945807,-1.4794971,-1.44770699999999,-1.350346,-1.3182623,-1.33362769999999,-1.42836609999999,-1.8659188,-1.8093264,-1.7074828,-1.6889029,-1.60528049999999,-1.553388,-1.5839953,-1.5623816,-1.5476834,-1.66733549999999,-1.7248503,-1.7147975
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: Worldwide Governance Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 03/18/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Code,License Type,Indicator Name,Long definition,Source,Topic,Periodicity,Aggregation method,Other notes,License URL
GOV_WGI_CC.EST,CC BY-4.0,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),"Control of Corruption (CC) captures perceptions of the extent to which public power is used for private gain, including both petty and grand corruption, as well as capture of the state by elites and private interests.  Governance estimate from the aggregation model, in units of a standard normal distribution, i.e. ranging from approximately -2.5 to 2.5. Larger values correspond to better governance.","Detailed documentation of the WGI, interactive tools for exploring the data, and full access to the underlying source data available at www.govindicators.org. Worldwide Governance Indicators, 2025 Revision, World Bank (www.govindicators.org), Accessed on 12/15/2025. And: World Bank (2025). “The Worldwide Governance Indicators: Revised Methodology for Measuring Governance Using Perception Data.” Washington, DC: World Bank Group. The 2025 revision builds upon the original WGI methodology which was introduced in 1999 and summarized by the following paper: Kaufmann, Daniel & Aart C. Kraay. (2024). “The Worldwide Governance Indicators: Methodology and 2024 Update.” Policy Research Working Paper. Washington, DC: World Bank Group.",Control of Corruption,Annual,"Indicators, from the underlying data sources, are aggregated using the Unobserved Components Model (UCM). The UCM is essentially a weighted average, resulting in a governance estimate at the country level.","The following are the key steps:
STEP 1:  Assigning indicators from the underlying sources to the six governance dimensions.  Individual questions or variables from the underlying data sources are mapped to up to two of the six governance dimensions.
STEP 2:  Rescaling the individual source data to range from 0 to 1.  Each question from the underlying data sources is rescaled to range from 0 to 1, with higher values corresponding to better governance outcomes.
STEP 3:  Using an Unobserved Components Model to construct a governance estimate for each dimension by taking a weighted average of the source-by-dimension data. To aggregate data across multiple sources, the WGI uses a statistical technique known as an Unobserved Components Model (UCM).
STEP 4:  Transforming the UCM-generated governance estimates to a 0–100 absolute governance score. The WGI transform the governance estimates for each country, year, and dimension—typically ranging from approximately –2.5 to 2.5 —into absolute scores on a 0–100 scale, with 100 representing the best absolute governance performance.

The following is a summary of the methodology:
https://www.worldbank.org/en/publication/worldwide-governance-indicators/documentation#3
The following is detailed description of the methodology:
https://www.worldbank.org/content/dam/sites/govindicators/doc/The%20Worldwide%20Governance%20Indicators%202025%20Methodology%20Revision.pdf",https://datacatalog.worldbank.org/public-licenses#cc-by
GOV_WGI_RL.EST,CC BY-4.0,Rule of Law - Governance estimate (approx. -2.5 to +2.5),"Rule of Law (RL) captures perceptions of the extent to which agents respect and follow the rules of society, including contract enforcement, property rights, the police, courts, and the likelihood of crime and violence. Governance estimate from the aggregation model, in units of a standard normal distribution, i.e. ranging from approximately -2.5 to 2.5. Larger values correspond to better governance.","Detailed documentation of the WGI, interactive tools for exploring the data, and full access to the underlying source data available at www.govindicators.org. Worldwide Governance Indicators, 2025 Revision, World Bank (www.govindicators.org), Accessed on 12/15/2025. And: World Bank (2025). “The Worldwide Governance Indicators: Revised Methodology for Measuring Governance Using Perception Data.” Washington, DC: World Bank Group. The 2025 revision builds upon the original WGI methodology which was introduced in 1999 and summarized by the following paper: Kaufmann, Daniel & Aart C. Kraay. (2024). “The Worldwide Governance Indicators: Methodology and 2024 Update.” Policy Research Working Paper. Washington, DC: World Bank Group.",Rule of Law,Annual,"Indicators, from the underlying data sources, are aggregated using the Unobserved Components Model (UCM). The UCM is essentially a weighted average, resulting in a governance estimate at the country level.","The following are the key steps:
STEP 1:  Assigning indicators from the underlying sources to the six governance dimensions.  Individual questions or variables from the underlying data sources are mapped to up to two of the six governance dimensions.
STEP 2:  Rescaling the individual source data to range from 0 to 1.  Each question from the underlying data sources is rescaled to range from 0 to 1, with higher values corresponding to better governance outcomes.
STEP 3:  Using an Unobserved Components Model to construct a governance estimate for each dimension by taking a weighted average of the source-by-dimension data. To aggregate data across multiple sources, the WGI uses a statistical technique known as an Unobserved Components Model (UCM).
STEP 4:  Transforming the UCM-generated governance estimates to a 0–100 absolute governance score. The WGI transform the governance estimates for each country, year, and dimension—typically ranging from approximately –2.5 to 2.5 —into absolute scores on a 0–100 scale, with 100 representing the best absolute governance performance.

The following is a summary of the methodology:
https://www.worldbank.org/en/publication/worldwide-governance-indicators/documentation#3
The following is detailed description of the methodology:
https://www.worldbank.org/content/dam/sites/govindicators/doc/The%20Worldwide%20Governance%20Indicators%202025%20Methodology%20Revision.pdf",https://datacatalog.worldbank.org/public-licenses#cc-by
